TF	file	PeakCount
HaibTfbsEcc1Foxa1c20V0416102Dmso2	peakSeq.optimal.wgEncodeHaibTfbsEcc1Foxa1c20V0416102Dmso2AlnRep0_vs_wgEncodeHaibTfbsEcc1ControlV0416102Dmso2AlnRep0.narrowPeak	2557
HaibTfbsEcc1GrV0416102Dexa	peakSeq.optimal.wgEncodeHaibTfbsEcc1GrV0416102DexaAlnRep0_vs_wgEncodeHaibTfbsEcc1GrV0416102Etoh02AlnRep0.narrowPeak	3768
HaibTfbsEcc1Pol2V0416102Dmso2	peakSeq.optimal.wgEncodeHaibTfbsEcc1Pol2V0416102Dmso2AlnRep0_vs_wgEncodeHaibTfbsEcc1ControlV0416102Dmso2AlnRep0.narrowPeak	14008
HaibTfbsGm12878Atf3Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Atf3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.narrowPeak	1655
HaibTfbsGm12878BatfPcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878BatfPcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	19351
HaibTfbsGm12878Bcl11aPcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Bcl11aPcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	11326
HaibTfbsGm12878Bcl3Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Bcl3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	7247
HaibTfbsGm12878Bclaf1m33V0416101	peakSeq.optimal.wgEncodeHaibTfbsGm12878Bclaf1m33V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.narrowPeak	2479
HaibTfbsGm12878Ebf1c8Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Ebf1c8Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	24269
HaibTfbsGm12878EbfPcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878EbfPcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	24175
HaibTfbsGm12878Egr1Pcr2x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Egr1Pcr2xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.narrowPeak	1601
HaibTfbsGm12878Egr1V0416101	peakSeq.optimal.wgEncodeHaibTfbsGm12878Egr1V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.narrowPeak	11537
HaibTfbsGm12878Elf1sc631V0416101	peakSeq.optimal.wgEncodeHaibTfbsGm12878Elf1sc631V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.narrowPeak	15618
HaibTfbsGm12878Ets1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Ets1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.narrowPeak	1997
HaibTfbsGm12878GabpPcr2x	peakSeq.optimal.wgEncodeHaibTfbsGm12878GabpPcr2xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.narrowPeak	4235
HaibTfbsGm12878Irf4m17Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Irf4m17Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	9253
HaibTfbsGm12878Irf4Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Irf4Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	9072
HaibTfbsGm12878Mef2aPcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Mef2aPcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.narrowPeak	11741
HaibTfbsGm12878Mef2csc13268Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Mef2csc13268Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.narrowPeak	4590
