TF	file	PeakCount
HaibTfbsHct116Pol24h8V0416101	peakSeq.optimal.wgEncodeHaibTfbsHct116Pol24h8V0416101AlnRep0_vs_wgEncodeHaibTfbsHct116ControlV0416101AlnRep2.narrowPeak	18968
HaibTfbsHelas3GabpPcr1x	peakSeq.optimal.wgEncodeHaibTfbsHelas3GabpPcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak	3288
HaibTfbsHelas3NrsfPcr1x	peakSeq.optimal.wgEncodeHaibTfbsHelas3NrsfPcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak	5332
HaibTfbsHelas3Pol2Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsHelas3Pol2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak	14558
HaibTfbsHelas3Taf1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsHelas3Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak	6578
HaibTfbsHepg2Atf3V0416101	peakSeq.optimal.wgEncodeHaibTfbsHepg2Atf3V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak	1015
HaibTfbsHepg2Bhlhe40V0416101	peakSeq.optimal.wgEncodeHaibTfbsHepg2Bhlhe40V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak	4963
HaibTfbsHepg2CtcfV0416101	peakSeq.optimal.wgEncodeHaibTfbsHepg2CtcfV0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak	45164
HaibTfbsHepg2Elf1sc631V0416101	peakSeq.optimal.wgEncodeHaibTfbsHepg2Elf1sc631V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak	10158
HaibTfbsHepg2Fosl2Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsHepg2Fosl2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak	13697
HaibTfbsHepg2Foxa1c20Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsHepg2Foxa1c20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak	31916
HaibTfbsHepg2Foxa1sc101058Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsHepg2Foxa1sc101058Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak	24365
HaibTfbsHepg2Foxa2sc6554V0416101	peakSeq.optimal.wgEncodeHaibTfbsHepg2Foxa2sc6554V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak	23457
HaibTfbsHepg2GabpPcr2x	peakSeq.optimal.wgEncodeHaibTfbsHepg2GabpPcr2xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr2xAlnRep0.narrowPeak	5477
HaibTfbsHepg2Hdac2sc6296V0416101	peakSeq.optimal.wgEncodeHaibTfbsHepg2Hdac2sc6296V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak	15150
HaibTfbsHepg2Hey1V0416101	peakSeq.optimal.wgEncodeHaibTfbsHepg2Hey1V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak	13511
HaibTfbsHepg2Hnf4ah171Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsHepg2Hnf4ah171Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak	17344
HaibTfbsHepg2Hnf4gsc6558V0416101	peakSeq.optimal.wgEncodeHaibTfbsHepg2Hnf4gsc6558V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak	12251
HaibTfbsHepg2JundPcr1x	peakSeq.optimal.wgEncodeHaibTfbsHepg2JundPcr1xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak	9600
HaibTfbsHepg2NrsfPcr2x	peakSeq.optimal.wgEncodeHaibTfbsHepg2NrsfPcr2xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr2xAlnRep0.narrowPeak	2737
HaibTfbsHepg2P300Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsHepg2P300Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak	6797
HaibTfbsHepg2P300V0416101	peakSeq.optimal.wgEncodeHaibTfbsHepg2P300V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak	15861
HaibTfbsHepg2Pol2Pcr2x	peakSeq.optimal.wgEncodeHaibTfbsHepg2Pol2Pcr2xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr2xAlnRep0.narrowPeak	10858
HaibTfbsHepg2Rad21V0416101	peakSeq.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak	41709
HaibTfbsHepg2RxraPcr1x	peakSeq.optimal.wgEncodeHaibTfbsHepg2RxraPcr1xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak	9838
HaibTfbsHepg2Sin3ak20Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsHepg2Sin3ak20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak	9671
HaibTfbsHepg2Sp1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsHepg2Sp1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak	14107
HaibTfbsHepg2SrfV0416101	peakSeq.optimal.wgEncodeHaibTfbsHepg2SrfV0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak	2837
HaibTfbsHepg2Taf1Pcr2x	peakSeq.optimal.wgEncodeHaibTfbsHepg2Taf1Pcr2xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr2xAlnRep0.narrowPeak	7215
HaibTfbsHepg2Tcf12Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsHepg2Tcf12Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak	398
HaibTfbsHepg2Usf1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsHepg2Usf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak	12507
HaibTfbsHepg2Zbtb33Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsHepg2Zbtb33Pcr1xAlnRep0_vs_wgEncodeHaibTfbsHepg2ControlPcr1xAlnRep0.narrowPeak	3933
HaibTfbsHepg2Zbtb33V0416101	peakSeq.optimal.wgEncodeHaibTfbsHepg2Zbtb33V0416101AlnRep0_vs_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak	1208
HaibTfbsHtb11NrsfPcr2x	peakSeq.optimal.wgEncodeHaibTfbsHtb11NrsfPcr2xAlnRep0_vs_wgEncodeHaibTfbsHtb11ControlPcr2xAlnRep0.narrowPeak	2253
HaibTfbsK562Bcl3Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsK562Bcl3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	439
HaibTfbsK562Bclaf1m33Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsK562Bclaf1m33Pcr1xAlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	384
HaibTfbsK562Ctcflsc98982V0416101	peakSeq.optimal.wgEncodeHaibTfbsK562Ctcflsc98982V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	7634
HaibTfbsK562E2f6h50V0416102	peakSeq.optimal.wgEncodeHaibTfbsK562E2f6h50V0416102AlnRep0_vs_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak	20506
HaibTfbsK562Egr1V0416101	peakSeq.optimal.wgEncodeHaibTfbsK562Egr1V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	17860
HaibTfbsK562Elf1sc631V0416102	peakSeq.optimal.wgEncodeHaibTfbsK562Elf1sc631V0416102AlnRep0_vs_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak	21904
HaibTfbsK562Ets1V0416101	peakSeq.optimal.wgEncodeHaibTfbsK562Ets1V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	4541
HaibTfbsK562Fosl1sc183V0416101	peakSeq.optimal.wgEncodeHaibTfbsK562Fosl1sc183V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	5216
HaibTfbsK562GabpV0416101	peakSeq.optimal.wgEncodeHaibTfbsK562GabpV0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	7666
HaibTfbsK562Gata2cg2Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsK562Gata2cg2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	8713
HaibTfbsK562Hdac2sc6296V0416102	peakSeq.optimal.wgEncodeHaibTfbsK562Hdac2sc6296V0416102AlnRep0_vs_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak	17119
HaibTfbsK562Hey1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsK562Hey1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak	13137
HaibTfbsK562MaxV0416102	peakSeq.optimal.wgEncodeHaibTfbsK562MaxV0416102AlnRep0_vs_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak	35333
HaibTfbsK562NrsfV0416102	peakSeq.optimal.wgEncodeHaibTfbsK562NrsfV0416102AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	8321
HaibTfbsK562Pol24h8Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsK562Pol24h8Pcr1xAlnRep0_vs_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak	19344
HaibTfbsK562Pol24h8V0416101	peakSeq.optimal.wgEncodeHaibTfbsK562Pol24h8V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	8653
HaibTfbsK562Pol2V0416101	peakSeq.optimal.wgEncodeHaibTfbsK562Pol2V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	13421
HaibTfbsK562Pu1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsK562Pu1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak	22531
HaibTfbsK562Rad21V0416102	peakSeq.optimal.wgEncodeHaibTfbsK562Rad21V0416102AlnRep0_vs_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak	32123
HaibTfbsK562Sin3ak20V0416101	peakSeq.optimal.wgEncodeHaibTfbsK562Sin3ak20V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	5001
HaibTfbsK562Six5Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsK562Six5Pcr1xAlnRep0_vs_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak	1921
HaibTfbsK562Sp1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsK562Sp1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	1475
HaibTfbsK562Sp2sc643V0416102	peakSeq.optimal.wgEncodeHaibTfbsK562Sp2sc643V0416102AlnRep0_vs_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak	4020
HaibTfbsK562SrfV0416101	peakSeq.optimal.wgEncodeHaibTfbsK562SrfV0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	1768
HaibTfbsK562Taf1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsK562Taf1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak	9282
HaibTfbsK562Taf1V0416101	peakSeq.optimal.wgEncodeHaibTfbsK562Taf1V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	8821
HaibTfbsK562Taf7sq8V0416101	peakSeq.optimal.wgEncodeHaibTfbsK562Taf7sq8V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	969
HaibTfbsK562Thap1sc98174V0416101	peakSeq.optimal.wgEncodeHaibTfbsK562Thap1sc98174V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	1360
HaibTfbsK562Usf1V0416101	peakSeq.optimal.wgEncodeHaibTfbsK562Usf1V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	11097
HaibTfbsK562Yy1V0416101	peakSeq.optimal.wgEncodeHaibTfbsK562Yy1V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	7513
HaibTfbsK562Yy1V0416102	peakSeq.optimal.wgEncodeHaibTfbsK562Yy1V0416102AlnRep0_vs_wgEncodeHaibTfbsK562ControlPcr1xAlnRep0.narrowPeak	18338
HaibTfbsK562Zbtb33Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsK562Zbtb33Pcr1xAlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	1569
HaibTfbsK562Zbtb7asc34508V0416101	peakSeq.optimal.wgEncodeHaibTfbsK562Zbtb7asc34508V0416101AlnRep0_vs_wgEncodeHaibTfbsK562ControlV0416101AlnRep0.narrowPeak	10879
HaibTfbsPanc1NrsfPcr2x	peakSeq.optimal.wgEncodeHaibTfbsPanc1NrsfPcr2xAlnRep0_vs_wgEncodeHaibTfbsPanc1ControlPcr2xAlnRep0.narrowPeak	2522
HaibTfbsPfsk1NrsfPcr2x	peakSeq.optimal.wgEncodeHaibTfbsPfsk1NrsfPcr2xAlnRep0_vs_wgEncodeHaibTfbsPfsk1ControlPcr2xAlnRep0.narrowPeak	2964
HaibTfbsSknshraCtcfV0416102	peakSeq.optimal.wgEncodeHaibTfbsSknshraCtcfV0416102AlnRep0_vs_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak	35889
HaibTfbsSknshraP300V0416102	peakSeq.optimal.wgEncodeHaibTfbsSknshraP300V0416102AlnRep0_vs_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak	35470
HaibTfbsSknshraRad21V0416102	peakSeq.optimal.wgEncodeHaibTfbsSknshraRad21V0416102AlnRep0_vs_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak	51610
HaibTfbsSknshraUsf1sc8983V0416102	peakSeq.optimal.wgEncodeHaibTfbsSknshraUsf1sc8983V0416102AlnRep0_vs_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak	15227
HaibTfbsSknshraYy1c20V0416102	peakSeq.optimal.wgEncodeHaibTfbsSknshraYy1c20V0416102AlnRep0_vs_wgEncodeHaibTfbsSknshraControlV0416102AlnRep2.narrowPeak	12244
HaibTfbsT47dCtcfsc5916V0416102Dmso2	peakSeq.optimal.wgEncodeHaibTfbsT47dCtcfsc5916V0416102Dmso2AlnRep0_vs_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak	22196
HaibTfbsT47dEralphaaPcr2xGen1h	peakSeq.optimal.wgEncodeHaibTfbsT47dEralphaaPcr2xGen1hAlnRep0_vs_wgEncodeHaibTfbsT47dEralphaaV0416102Dmso2AlnRep0.narrowPeak	5393
HaibTfbsT47dEralphaaV0416102Estradia1h	peakSeq.optimal.wgEncodeHaibTfbsT47dEralphaaV0416102Estradia1hAlnRep0_vs_wgEncodeHaibTfbsT47dEralphaaV0416102Dmso2AlnRep0.narrowPeak	5312
HaibTfbsT47dFoxa1c20V0416102Dmso2	peakSeq.optimal.wgEncodeHaibTfbsT47dFoxa1c20V0416102Dmso2AlnRep0_vs_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak	30160
HaibTfbsT47dGata3sc268V0416102Dmso2	peakSeq.optimal.wgEncodeHaibTfbsT47dGata3sc268V0416102Dmso2AlnRep0_vs_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak	28285
HaibTfbsT47dP300V0416102Dmso2	peakSeq.optimal.wgEncodeHaibTfbsT47dP300V0416102Dmso2AlnRep0_vs_wgEncodeHaibTfbsT47dControlV0416102Dmso2AlnRep2.narrowPeak	8682
HaibTfbsU87NrsfPcr2x	peakSeq.optimal.wgEncodeHaibTfbsU87NrsfPcr2xAlnRep0_vs_wgEncodeHaibTfbsU87ControlPcr2xAlnRep0.narrowPeak	2197
OpenChromChipFibroblCtcf	peakSeq.optimal.wgEncodeOpenChromChipFibroblCtcfAlnRep0_vs_wgEncodeOpenChromChipFibroblInputAlnRep1.narrowPeak	30883
OpenChromChipGlioblaCtcf	peakSeq.optimal.wgEncodeOpenChromChipGlioblaCtcfAlnRep0_vs_wgEncodeOpenChromChipGlioblaInputAlnRep1.narrowPeak	51089
OpenChromChipGlioblaPol2	peakSeq.optimal.wgEncodeOpenChromChipGlioblaPol2AlnRep0_vs_wgEncodeOpenChromChipGlioblaInputAlnRep1.narrowPeak	10866
OpenChromChipGm12878Cmyc	peakSeq.optimal.wgEncodeOpenChromChipGm12878CmycAlnRep0_vs_wgEncodeOpenChromChipGm12878InputAlnRep1.narrowPeak	2930
OpenChromChipGm12878Ctcf	peakSeq.optimal.wgEncodeOpenChromChipGm12878CtcfAlnRep0_vs_wgEncodeOpenChromChipGm12878InputAlnRep1.narrowPeak	40266
OpenChromChipGm12878Pol2	peakSeq.optimal.wgEncodeOpenChromChipGm12878Pol2AlnRep0_vs_wgEncodeOpenChromChipGm12878InputAlnRep1.narrowPeak	10602
OpenChromChipHelas3Cmyc	peakSeq.optimal.wgEncodeOpenChromChipHelas3CmycAlnRep0_vs_wgEncodeOpenChromChipHelas3InputAlnRep1.narrowPeak	1320
OpenChromChipHelas3Ctcf	peakSeq.optimal.wgEncodeOpenChromChipHelas3CtcfAlnRep0_vs_wgEncodeOpenChromChipHelas3InputAlnRep1.narrowPeak	51341
OpenChromChipHelas3Pol2	peakSeq.optimal.wgEncodeOpenChromChipHelas3Pol2AlnRep0_vs_wgEncodeOpenChromChipHelas3InputAlnRep1.narrowPeak	10302
OpenChromChipHepg2Cmyc	peakSeq.optimal.wgEncodeOpenChromChipHepg2CmycAlnRep0_vs_wgEncodeOpenChromChipHepg2InputAlnRep1.narrowPeak	7266
OpenChromChipHepg2Ctcf	peakSeq.optimal.wgEncodeOpenChromChipHepg2CtcfAlnRep0_vs_wgEncodeOpenChromChipHepg2InputAlnRep1.narrowPeak	39846
OpenChromChipHepg2Pol2	peakSeq.optimal.wgEncodeOpenChromChipHepg2Pol2AlnRep0_vs_wgEncodeOpenChromChipHepg2InputAlnRep1.narrowPeak	12107
OpenChromChipHuvecCmyc	peakSeq.optimal.wgEncodeOpenChromChipHuvecCmycAlnRep1_vs_wgEncodeOpenChromChipHuvecInputAlnRep1.narrowPeak	8689
OpenChromChipHuvecCtcf	peakSeq.optimal.wgEncodeOpenChromChipHuvecCtcfAlnRep0_vs_wgEncodeOpenChromChipHuvecInputAlnRep1.narrowPeak	40361
OpenChromChipHuvecPol2	peakSeq.optimal.wgEncodeOpenChromChipHuvecPol2AlnRep0_vs_wgEncodeOpenChromChipHuvecInputAlnRep1.narrowPeak	16345
OpenChromChipK562Cmyc	peakSeq.optimal.wgEncodeOpenChromChipK562CmycAlnRep0_vs_wgEncodeOpenChromChipK562InputAlnRep1.narrowPeak	10283
OpenChromChipK562Ctcf	peakSeq.optimal.wgEncodeOpenChromChipK562CtcfAlnRep0_vs_wgEncodeOpenChromChipK562InputAlnRep1.narrowPeak	46305
OpenChromChipK562Pol2	peakSeq.optimal.wgEncodeOpenChromChipK562Pol2AlnRep0_vs_wgEncodeOpenChromChipK562InputAlnRep1.narrowPeak	15669
OpenChromChipMcf7CmycEstro	peakSeq.optimal.wgEncodeOpenChromChipMcf7CmycEstroAlnRep0_vs_wgEncodeOpenChromChipMcf7InputAlnRep1.narrowPeak	12022
OpenChromChipMcf7CmycVeh	peakSeq.optimal.wgEncodeOpenChromChipMcf7CmycVehAlnRep0_vs_wgEncodeOpenChromChipMcf7InputAlnRep1.narrowPeak	34220
OpenChromChipMcf7Ctcf	peakSeq.optimal.wgEncodeOpenChromChipMcf7CtcfAlnRep0_vs_wgEncodeOpenChromChipMcf7InputAlnRep1.narrowPeak	45719
OpenChromChipMcf7CtcfEstro	peakSeq.optimal.wgEncodeOpenChromChipMcf7CtcfEstroAlnRep0_vs_wgEncodeOpenChromChipMcf7InputAlnRep1.narrowPeak	58347
OpenChromChipMcf7CtcfVeh	peakSeq.optimal.wgEncodeOpenChromChipMcf7CtcfVehAlnRep0_vs_wgEncodeOpenChromChipMcf7InputAlnRep1.narrowPeak	71944
OpenChromChipMcf7Pol2	peakSeq.optimal.wgEncodeOpenChromChipMcf7Pol2AlnRep0_vs_wgEncodeOpenChromChipMcf7InputAlnRep1.narrowPeak	12385
OpenChromChipProgfibCtcf	peakSeq.optimal.wgEncodeOpenChromChipProgfibCtcfAlnRep0_vs_wgEncodeOpenChromChipProgfibInputAlnRep1.narrowPeak	32053
OpenChromChipProgfibPol2	peakSeq.optimal.wgEncodeOpenChromChipProgfibPol2AlnRep0_vs_wgEncodeOpenChromChipProgfibInputAlnRep1.narrowPeak	14987
SydhTfbsGm10847NfkbIggrab	peakSeq.optimal.wgEncodeSydhTfbsGm10847NfkbIggrabAlnRep0_vs_wgEncodeSydhTfbsGm10847InputIggrabAlnRep0.narrowPeak	6959
SydhTfbsGm10847Pol2Iggmus	peakSeq.optimal.wgEncodeSydhTfbsGm10847Pol2IggmusAlnRep1_vs_wgEncodeSydhTfbsGm10847InputIggmusAlnRep0.narrowPeak	8030
SydhTfbsGm12878Brca1cIggmus	peakSeq.optimal.wgEncodeSydhTfbsGm12878Brca1cIggmusAlnRep0_vs_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak	845
SydhTfbsGm12878Cfos	peakSeq.optimal.wgEncodeSydhTfbsGm12878CfosStdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	1187
SydhTfbsGm12878Chd21250Iggmus	peakSeq.optimal.wgEncodeSydhTfbsGm12878Chd21250IggmusAlnRep0_vs_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak	10667
SydhTfbsGm12878Ctcfc20	peakSeq.optimal.wgEncodeSydhTfbsGm12878Ctcfc20StdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	40539
SydhTfbsGm12878Ebf	peakSeq.optimal.wgEncodeSydhTfbsGm12878EbfStdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	19677
SydhTfbsGm12878Gcn5	peakSeq.optimal.wgEncodeSydhTfbsGm12878Gcn5StdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	295
SydhTfbsGm12878Irf3	peakSeq.optimal.wgEncodeSydhTfbsGm12878Irf3StdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	608
SydhTfbsGm12878Jund	peakSeq.optimal.wgEncodeSydhTfbsGm12878JundStdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	1044
SydhTfbsGm12878Max	peakSeq.optimal.wgEncodeSydhTfbsGm12878MaxStdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	437
SydhTfbsGm12878Nfe2h	peakSeq.optimal.wgEncodeSydhTfbsGm12878Nfe2hStdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	466
SydhTfbsGm12878NfkbIggrab	peakSeq.optimal.wgEncodeSydhTfbsGm12878NfkbIggrabAlnRep0_vs_wgEncodeSydhTfbsGm12878InputIggrabAlnRep0.narrowPeak	6981
SydhTfbsGm12878NfkbTnfa	peakSeq.optimal.wgEncodeSydhTfbsGm12878NfkbTnfaStdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	6558
SydhTfbsGm12878Nrf1Iggmus	peakSeq.optimal.wgEncodeSydhTfbsGm12878Nrf1IggmusAlnRep0_vs_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak	4679
SydhTfbsGm12878P300n15	peakSeq.optimal.wgEncodeSydhTfbsGm12878P300n15StdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	2767
SydhTfbsGm12878Pol2Iggmus	peakSeq.optimal.wgEncodeSydhTfbsGm12878Pol2IggmusAlnRep0_vs_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak	14989
SydhTfbsGm12878Pol2	peakSeq.optimal.wgEncodeSydhTfbsGm12878Pol2StdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	4666
SydhTfbsGm12878Pol3	peakSeq.optimal.wgEncodeSydhTfbsGm12878Pol3StdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	112
SydhTfbsGm12878Rad21Iggrab	peakSeq.optimal.wgEncodeSydhTfbsGm12878Rad21IggrabAlnRep0_vs_wgEncodeSydhTfbsGm12878InputIggrabAlnRep0.narrowPeak	23947
SydhTfbsGm12878Rfx5n494Iggmus	peakSeq.optimal.wgEncodeSydhTfbsGm12878Rfx5n494IggmusAlnRep0_vs_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak	2752
SydhTfbsGm12878Smc3ab9263Iggmus	peakSeq.optimal.wgEncodeSydhTfbsGm12878Smc3ab9263IggmusAlnRep0_vs_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak	26128
SydhTfbsGm12878Spt20	peakSeq.optimal.wgEncodeSydhTfbsGm12878Spt20StdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	284
SydhTfbsGm12878Stat1	peakSeq.optimal.wgEncodeSydhTfbsGm12878Stat1StdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	104
SydhTfbsGm12878Stat3Iggmus	peakSeq.optimal.wgEncodeSydhTfbsGm12878Stat3IggmusAlnRep0_vs_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak	1418
SydhTfbsGm12878TbpIggmus	peakSeq.optimal.wgEncodeSydhTfbsGm12878TbpIggmusAlnRep0_vs_wgEncodeSydhTfbsGm12878InputIggmusAlnRep0.narrowPeak	8595
SydhTfbsGm12878Tr4	peakSeq.optimal.wgEncodeSydhTfbsGm12878Tr4StdAlnRep0_vs_wgEncodeSydhTfbsGm12878InputStdAlnRep1.narrowPeak	1530
